num_of_operations,uniqueBlobCount,uniqueBlobSize,uniqueTreeCount,uniqueTreeEntries,uniqueTreeSize,uniqueCommitCount,uniqueCommitSize,naiveTreeSize
0,0,0,1,0,0,1,589,0
200,0,0,1,0,0,201,118845,0
400,0,0,1,0,0,401,237209,0
600,0,0,1,0,0,601,355505,0
800,0,0,1,0,0,801,473873,0
1000,0,0,1,0,0,1001,592149,0
1200,0,0,1,0,0,1201,710489,0
1400,0,0,1,0,0,1401,828785,0
1600,0,0,1,0,0,1601,947129,0
1800,0,0,1,0,0,1801,1065449,0
2000,0,0,1,0,0,2001,1183681,0
2200,0,0,1,0,0,2201,1302005,0
2400,0,0,1,0,0,2401,1420293,0
2600,0,0,1,0,0,2601,1538689,0
2800,0,0,1,0,0,2801,1657009,0
3000,0,0,1,0,0,3001,1775317,0
3200,0,0,1,0,0,3201,1893625,0
3400,0,0,1,0,0,3401,2012001,0
3600,0,0,1,0,0,3601,2130325,0
3800,0,0,1,0,0,3801,2248625,0
4000,0,0,1,0,0,4001,2366965,0
4200,0,0,1,0,0,4201,2485321,0
4400,0,0,1,0,0,4401,2603645,0
4600,0,0,1,0,0,4601,2721929,0
4800,0,0,1,0,0,4801,2840221,0
5000,0,0,1,0,0,5001,2958585,0
5200,0,0,1,0,0,5201,3076933,0
5400,0,0,1,0,0,5401,3195337,0
5600,0,0,1,0,0,5601,3313597,0
5800,0,0,1,0,0,5801,3431841,0
6000,0,0,1,0,0,6001,3550145,0
6200,0,0,1,0,0,6201,3668413,0
6400,0,0,1,0,0,6401,3786697,0
6600,0,0,1,0,0,6601,3904965,0
6800,0,0,1,0,0,6801,4023225,0
7000,0,0,1,0,0,7001,4141669,0
7200,0,0,1,0,0,7201,4260041,0
7400,0,0,1,0,0,7401,4378341,0
7600,0,0,1,0,0,7601,4496645,0
7800,0,0,1,0,0,7801,4614977,0
8000,0,0,1,0,0,8001,4733281,0
8200,163,3181,164,163,5705,8201,4853041,6475
8400,282,5508,283,282,9870,8401,4972917,13475
8600,359,7019,360,359,12565,8601,5092825,20475
8800,435,8578,436,435,15225,8801,5212745,27475
9000,507,9995,508,507,17745,9001,5332597,34475
9200,577,11419,578,577,20195,9201,5452605,41475
9400,648,12768,649,648,22680,9401,5572573,48475
9600,703,13816,704,703,24605,9601,5692525,55475
9800,776,15103,777,776,27160,9801,5812533,62475
10000,825,16028,826,825,28875,10001,5932437,69475
10200,920,17866,921,920,32200,10201,6052297,76475
10400,1021,19762,1022,1021,35735,10401,6172257,83475
10600,1156,22282,1157,1156,40460,10601,6292237,90475
10800,1276,24460,1277,1276,44660,10801,6412185,97475
11000,1345,25661,1456,1527,61898,11001,6533677,117818
11200,1382,26368,1831,1948,90225,11201,6658221,148345
11400,1428,27177,2201,2441,125635,11401,6782829,186323
11600,1484,28225,2588,3068,173943,11601,6907377,235471
