num_of_operations,naive_blob_count,naive_blob_size,naive_tree_count,naive_tree_size
0,0,0,1,0
200,0,0,201,0
400,0,0,401,0
600,0,0,601,0
800,0,0,801,0
1000,0,0,1001,0
1200,0,0,1201,0
1400,0,0,1401,0
1600,0,0,1601,0
1800,0,0,1801,0
2000,0,0,2001,0
2200,0,0,2201,0
2400,0,0,2401,0
2600,0,0,2601,0
2800,0,0,2801,0
3000,0,0,3001,0
3200,0,0,3201,0
3400,0,0,3401,0
3600,0,0,3601,0
3800,0,0,3801,0
4000,0,0,4001,0
4200,0,0,4201,0
4400,0,0,4401,0
4600,0,0,4601,0
4800,0,0,4801,0
5000,0,0,5001,0
5200,0,0,5201,0
5400,0,0,5401,0
5600,0,0,5601,0
5800,0,0,5801,0
6000,0,0,6001,0
6200,0,0,6201,0
6400,0,0,6401,0
6600,0,0,6601,0
6800,0,0,6801,0
7000,0,0,7001,0
7200,0,0,7201,0
7400,0,0,7401,0
7600,0,0,7601,0
7800,0,0,7801,0
8000,0,0,8001,0
8200,185,3639,8201,6475
8400,385,7719,8401,13475
8600,585,11798,8601,20475
8800,785,16001,8801,27475
9000,985,20068,9001,34475
9200,1185,24188,9201,41475
9400,1385,28235,9401,48475
9600,1585,32332,9601,55475
9800,1785,36241,9801,62475
10000,1985,40229,10001,69475
10200,2185,44164,10201,76475
10400,2385,47954,10401,83475
10600,2585,51661,10601,90475
10800,2785,55316,10801,97475
11000,3057,59613,11067,117818
11200,3303,64389,11466,148345
11400,3626,70417,11865,186323
11600,4066,78793,12262,235471
11800,6417,100750,12661,471333
12000,14970,174717,13058,1310859
12200,28055,286920,13457,2590485
12400,45176,433829,13857,4262855
12600,63340,590358,14257,6036637
12800,84533,772794,14657,8105915
13000,107985,975193,15057,10395877
13200,133430,1194817,15457,12879197
13400,150779,1345374,15856,14574274
13600,151341,1354502,16254,14635389
13800,173394,1545020,16654,16788731
14000,176253,1573428,17054,17073617
14200,176857,1583433,17449,17138521
14400,177433,1593102,17849,17201155
14600,177868,1601230,18249,17250129
14800,178416,1610176,18649,17310099
15000,179055,1623094,19047,17378706
15200,179776,1634221,19444,17455176
15400,180482,1645778,19841,17530187
15600,181309,1660898,20236,17616766
15800,182087,1675853,20625,17698739
16000,182565,1683966,21025,17751937
16200,182979,1691012,21425,17798871
16400,183630,1703407,21825,17868801
16600,184424,1716427,22220,17952549
16800,185203,1730052,22615,18034798
17000,185943,1741297,23011,18113046
17200,193474,1811838,23409,18852449
17400,194593,1831483,23806,18967617
17600,195625,1847497,24204,19074536
17800,199532,1886112,24601,19461285
18000,207754,1958571,25000,20268408
18200,213062,1993251,25398,20792964
18400,221723,2046224,25797,21644814
18600,226670,2081615,26191,22133587
18800,228116,2099986,26586,22280547
19000,229585,2120847,26976,22429495
19200,245266,2260716,27376,23962115
19400,285045,2603758,27776,27839293
19600,311044,2830802,28174,30375446
19800,359742,3253124,28574,35119344
20000,388183,3505641,28973,37891216
20200,389071,3522653,29367,37983990
20400,390899,3552942,29767,38168550
20600,392519,3579590,30167,38332854
20800,395243,3612323,30567,38604504
21000,406133,3716042,30967,39670144
21200,407270,3732672,31367,39787344
21400,408270,3749376,31765,39891141
21600,410032,3780950,32165,40069279
