num_of_operations,size_bundle_file,num_objects,num_deltas,size_pack_file,size_unpacked_repo,#init,#create,#burn,#giveTo,#ackFrom,delta_bundle_size
0,573,2,0,429,73759,0,0,0,0,0,573
200,103842,202,0,78070,737329,0,0,0,0,0,103327
400,207225,402,0,155771,1102009,0,0,0,0,0,103441
600,310574,602,0,233472,1319181,0,0,0,0,0,103407
800,414006,802,0,311220,1487303,0,0,0,0,0,103490
1000,517345,1002,0,388921,1626638,0,0,0,0,0,103397
1200,620701,1202,0,466607,1753701,0,0,0,0,0,103414
1400,724079,1402,0,544337,1860299,0,0,0,0,0,103436
1600,827459,1602,0,622045,1966919,0,0,0,0,0,103438
1800,930871,1802,0,699797,2073543,0,0,0,0,0,103470
2000,1034059,2002,0,777369,2180004,0,0,0,0,0,103246
2200,1137444,2202,0,855092,2286636,0,0,0,0,0,103443
2400,1240797,2402,0,932801,2393203,0,0,0,0,0,103411
2600,1344245,2602,0,1010551,2499879,0,0,0,0,0,103506
2800,1447604,2802,0,1088250,2606440,0,0,0,0,0,103417
3000,1550957,3002,0,1165949,2713008,0,0,0,0,0,103411
3200,1654319,3202,0,1243657,2819618,0,0,0,0,0,103420
3400,1757737,3402,0,1321387,2926279,0,0,0,0,0,103476
3600,1861105,3602,0,1399093,3032889,0,0,0,0,0,103426
3800,1964436,3802,0,1476774,3139450,0,0,0,0,0,103389
4000,2067801,4002,0,1554469,3246039,0,0,0,0,0,103423
4200,2171163,4202,0,1632153,3352682,0,0,0,0,0,103420
4400,2274502,4402,0,1709830,3459282,0,0,0,0,0,103397
4600,2377877,4602,0,1787563,3565909,0,0,0,0,0,103433
4800,2481167,4802,0,1865207,3672454,0,0,0,0,0,103348
5000,2584620,5002,0,1942978,3779128,0,0,0,0,0,103511
5200,2688043,5202,0,2020727,3885795,0,0,0,0,0,103481
5400,2791517,5402,0,2098499,3992531,0,0,0,0,0,103532
5600,2894826,5602,0,2176178,4099070,0,0,0,0,0,103367
5800,2998106,5802,0,2253836,4205592,0,0,0,0,0,103338
6000,3101479,6002,0,2331557,4312181,0,0,0,0,0,103431
6200,3204802,6202,0,2409246,4418727,0,0,0,0,0,103381
6400,3308188,6402,0,2486990,4525358,0,0,0,0,0,103444
6600,3411584,6602,0,2564752,4631970,0,0,0,0,0,103454
6800,3514916,6802,0,2642454,4738532,0,0,0,0,0,103390
7000,3618390,7002,0,2720206,4845227,0,0,0,0,0,103532
7200,3721786,7202,0,2797916,4951856,0,0,0,0,0,103454
7400,3825146,7402,0,2875626,5058448,0,0,0,0,0,103418
7600,3928503,7602,0,2953331,5165016,0,0,0,0,0,103415
7800,4031863,7802,0,3031025,5271615,0,0,0,0,0,103418
8000,4137342,8002,3,3107948,5381041,65,0,0,0,0,105772
8200,4254901,8528,14,3195022,5505799,81,184,0,0,0,123848
8400,4373763,8966,18,3280655,5630162,81,384,0,0,0,122932
8600,4490121,9320,22,3363589,5751514,81,584,0,0,0,120630
8800,4606270,9672,28,3446137,5873002,81,784,0,0,0,119711
9000,4723041,10016,30,3529178,5994299,81,984,0,0,0,120244
9200,4838242,10356,39,3610915,6115213,81,1184,0,0,0,118571
9400,4953717,10698,52,3692077,6237168,81,1384,0,0,0,117981
9600,5068680,11008,61,3772906,6357745,81,1584,0,0,0,117246
9800,5184794,11354,71,3854687,6479854,81,1784,0,0,0,119112
10000,5300171,11652,74,3936131,6599665,81,1984,0,0,0,118448
10200,5419163,12042,74,4021039,6723105,81,2184,0,0,0,122583
10400,5536852,12444,80,4105280,6846384,81,2384,0,0,0,122773
10600,5656819,12914,86,4191622,6972402,81,2584,0,0,0,125624
10800,5776150,13354,90,4277338,7097170,81,2784,0,0,0,125067
11000,5889499,13802,154,4363292,7226575,81,2919,0,33,32,120105
11200,5992375,14414,290,4456860,7352652,81,2920,0,132,132,120141
11400,6095975,15030,426,4552045,7482754,81,2921,0,232,231,122157
11600,6206304,15673,561,4654281,7646918,81,2924,0,330,330,127533
11800,6301458,16209,755,4738210,7877686,81,2925,0,430,429,112932
12000,6396085,16687,957,4819425,8389830,81,2928,0,528,528,112613
12200,6487117,17165,1168,4898741,9084068,81,2929,0,628,627,136239
12400,6572452,17681,1396,4980457,9982568,81,2929,0,728,727,144664
12600,6659848,18170,1614,5064234,10922048,81,2929,0,828,827,138405
