num_of_operations,uniqueBlobCount,uniqueBlobSize,uniqueTreeCount,uniqueTreeEntries,uniqueTreeSize,uniqueCommitCount,uniqueCommitSize,naiveTreeSize
0,0,0,1,0,0,1,589,0
200,0,0,1,0,0,201,118961,0
400,0,0,1,0,0,401,237329,0
600,0,0,1,0,0,601,355621,0
800,0,0,1,0,0,801,473985,0
1000,0,0,1,0,0,1001,592337,0
1200,0,0,1,0,0,1201,710681,0
1400,0,0,1,0,0,1401,828941,0
1600,0,0,1,0,0,1601,947213,0
1800,0,0,1,0,0,1801,1065553,0
2000,0,0,1,0,0,2001,1183845,0
2200,0,0,1,0,0,2201,1302217,0
2400,0,0,1,0,0,2401,1420497,0
2600,0,0,1,0,0,2601,1538845,0
2800,0,0,1,0,0,2801,1657053,0
3000,0,0,1,0,0,3001,1775329,0
3200,0,0,1,0,0,3201,1893689,0
3400,0,0,1,0,0,3401,2011973,0
3600,0,0,1,0,0,3601,2130297,0
3800,0,0,1,0,0,3801,2248697,0
4000,0,0,1,0,0,4001,2367037,0
4200,0,0,1,0,0,4201,2485325,0
4400,0,0,1,0,0,4401,2603621,0
4600,0,0,1,0,0,4601,2721933,0
4800,0,0,1,0,0,4801,2840337,0
5000,0,0,1,0,0,5001,2958661,0
5200,0,0,1,0,0,5201,3076985,0
5400,0,0,1,0,0,5401,3195261,0
5600,0,0,1,0,0,5601,3313569,0
5800,0,0,1,0,0,5801,3431889,0
6000,0,0,1,0,0,6001,3550253,0
6200,0,0,1,0,0,6201,3668557,0
6400,0,0,1,0,0,6401,3786929,0
6600,0,0,1,0,0,6601,3905261,0
6800,0,0,1,0,0,6801,4023569,0
7000,0,0,1,0,0,7001,4141937,0
7200,0,0,1,0,0,7201,4260273,0
7400,0,0,1,0,0,7401,4378625,0
7600,0,0,1,0,0,7601,4496917,0
7800,0,0,1,0,0,7801,4615205,0
8000,1,2,2,4,136,8001,4733537,8976
8200,164,3183,165,656,22304,8201,4853357,58208
8400,283,5510,284,1132,38488,8401,4973345,111656
8600,360,7021,361,1440,48960,8601,5093141,165240
8800,436,8580,437,1744,59296,8801,5213085,218960
9000,508,9997,509,2032,69088,9001,5333033,272816
9200,578,11421,579,2312,78608,9201,5452957,326400
9400,649,12770,650,2596,88264,9401,5572881,380664
9600,704,13818,705,2816,95744,9601,5692765,434792
9800,777,15105,778,3108,105672,9801,5812685,489056
10000,826,16030,827,3304,112336,10001,5932641,543048
10200,921,17868,922,3684,125256,10201,6052537,597176
10400,1022,19764,1023,4088,138992,10401,6172445,650760
10600,1157,22284,1158,4628,157352,10601,6292345,704480
10800,1277,24462,1278,5108,173672,10801,6412297,758200
11000,1346,25663,1457,5701,202514,11001,6533781,820458
11200,1383,26370,1850,6983,276842,11201,6658625,912888
11400,1429,27179,2241,8533,378160,11401,6783461,1034806
11600,1485,28227,2631,9984,469380,11601,6908181,1150496
11800,1513,28608,2952,13309,751742,11801,7032841,1456832
12000,1531,28847,3217,22419,1603850,12001,7157277,2338120
12200,1552,29106,3483,36263,2916110,12201,7281877,3679008
12400,1585,29444,3769,54072,4612338,12401,7406397,5394486
12600,1608,29709,4037,72753,6395648,12601,7530961,7197736
12800,1632,29945,4310,94627,8486910,12801,7655513,9310462
13000,1649,30182,4561,118514,10776882,13001,7779997,11623014
13200,1660,30314,4805,144543,13275642,13201,7904533,14150090
13400,1685,30755,5100,162818,15014282,13401,8029213,15914690
13600,1728,31447,5487,164856,15162784,13601,8154097,16090928
13800,1740,31666,5765,188096,17386320,13801,8278689,18343226
14000,1775,32284,6123,193078,17824934,14001,8403529,18810466
14200,1818,33041,6491,195963,18057870,14201,8528337,19082792
14400,1853,33675,6865,199439,18347934,14401,8653289,19405366
14600,1886,34316,7224,203102,18658386,14601,8778173,19754572
14800,1927,35078,7570,207425,19034108,14801,8903033,20190326
15000,1969,35905,7917,211815,19416918,15001,9027853,20646494
15200,2011,36632,8262,216379,19816332,15201,9152537,21107420
15400,2048,37323,8608,221481,20268316,15401,9277285,21650006
15600,2088,38095,8960,226330,20694906,15601,9401965,22155504
15800,2125,38805,9336,229595,20964386,15801,9526733,22473188
16000,2160,39454,9682,233736,21322994,16001,9651617,22895516
16200,2193,40072,10006,238397,21734124,16201,9776441,23383328
16400,2225,40690,10325,244007,22238234,16401,9901353,23975404
16600,2254,41216,10636,248632,22647772,16601,10026085,24465170
16800,2290,41904,10961,254568,23183394,16801,10150981,25079378
17000,2329,42615,11307,260161,23682422,17001,10275765,25640626
17200,2379,43449,11673,271099,24698800,17201,10400561,26716708
17400,2419,44156,12038,276470,25174108,17401,10525297,27266556
17600,2462,44961,12401,281868,25652506,17601,10650065,27844978
17800,2523,45816,12785,289174,26313538,17801,10774797,28579856
18000,2581,46458,13147,300208,27339976,18001,10899477,29663254
18200,2636,47004,13486,309190,28169178,18201,11024337,30587926
18400,2716,47554,13858,319612,29134552,18401,11149285,31587766
18600,2771,48217,14201,329471,30048004,18601,11273993,32595390
18800,2807,48875,14547,337517,30784902,18801,11398657,33462710
19000,2845,49414,14868,343131,31288880,19001,11523065,34035540
19200,2884,49958,15196,362238,33103310,19201,11647657,35962490
19400,2922,50366,15518,402979,37019838,19401,11772113,39919664
19600,2960,50842,15835,431177,39718670,19601,11896617,42674682
19800,3005,51314,16154,480594,44477568,19801,12020929,47448172
20000,3039,51839,16464,511752,47463984,20001,12145473,50508868
20200,3078,52616,16800,518308,48058536,20201,12270133,51287382
20400,3118,53401,17162,525764,48737636,20401,12394893,52102510
20600,3158,54119,17514,533421,49437022,20601,12519765,52950638
20800,3194,54715,17840,543262,50352720,20801,12644541,53981978
21000,3226,55319,18167,560323,51968586,21001,12769321,55728076
21200,3267,56069,18527,569553,52820542,21201,12894261,56720804
21400,3301,56707,18861,578289,53626946,21401,13018901,57691180
21600,3339,57462,19207,587420,54470586,21601,13143617,58712766
21800,3381,58215,19554,597924,55447886,21801,13268429,59861006
22000,3422,58952,19914,606368,56223548,22001,13393269,60815488
22200,3455,59473,20251,620085,57512780,22201,13518029,62269636
22400,3514,60473,20636,628263,58259574,22401,13642765,63165008
22600,3567,61395,21011,638349,59193190,22601,13767569,64261168
22800,3608,62115,21376,647378,60024754,22801,13892461,65276696
23000,3645,62722,21717,656475,60865450,23001,14017153,66312536
23200,3675,63160,22029,687094,63800026,23201,14141857,69398630
23400,3690,63330,22275,742482,69149102,23401,14266393,74777678
23600,3703,63570,22532,793253,74049436,23601,14390969,79763602
23800,3730,63899,22803,856461,80156326,23801,14515493,85948904
24000,3749,64170,23082,916335,85938564,24001,14640033,91775274
24200,3764,64410,23340,979221,92016080,24201,14764529,97898418
24400,3806,65074,23681,993172,93329478,24401,14889361,99383194
24600,3847,65820,24039,1004782,94413390,24601,15014141,100664342
24800,3885,66586,24364,1018996,95754458,24801,15138881,102345356
25000,3934,67312,24702,1060903,99783584,25001,15263421,106539788
