num_of_operations,naive_blob_count,naive_blob_size,naive_tree_count,naive_tree_size
0,0,0,1,0
200,0,0,201,0
400,0,0,401,0
600,0,0,601,0
800,0,0,801,0
1000,0,0,1001,0
1200,0,0,1201,0
1400,0,0,1401,0
1600,0,0,1601,0
1800,0,0,1801,0
2000,0,0,2001,0
2200,0,0,2201,0
2400,0,0,2401,0
2600,0,0,2601,0
2800,0,0,2801,0
3000,0,0,3001,0
3200,0,0,3201,0
3400,0,0,3401,0
3600,0,0,3601,0
3800,0,0,3801,0
4000,0,0,4001,0
4200,0,0,4201,0
4400,0,0,4401,0
4600,0,0,4601,0
4800,0,0,4801,0
5000,0,0,5001,0
5200,0,0,5201,0
5400,0,0,5401,0
5600,0,0,5601,0
5800,0,0,5801,0
6000,0,0,6001,0
6200,0,0,6201,0
6400,0,0,6401,0
6600,0,0,6601,0
6800,0,0,6801,0
7000,0,0,7001,0
7200,0,0,7201,0
7400,0,0,7401,0
7600,0,0,7601,0
7800,0,0,7801,0
8000,132,264,8133,8976
8200,532,4333,8733,36176
8400,932,8813,9333,63376
8600,1332,13292,9933,90576
8800,1732,17895,10533,117776
9000,2132,22362,11133,144976
9200,2532,26882,11733,172176
9400,2932,31329,12333,199376
9600,3332,35826,12933,226576
9800,3732,40135,13533,253776
10000,4132,44523,14133,280976
10200,4532,48858,14733,308176
10400,4932,53048,15333,335376
10600,5332,57155,15933,362576
10800,5732,61210,16533,389776
11000,6270,66564,17133,430410
11200,7262,81042,17733,515496
11400,8566,101716,18333,630750
11600,9807,120937,18933,740048
11800,12987,153908,19533,1037544
12000,22063,232524,20133,1908224
12200,35876,353581,20733,3239864
12400,53600,506464,21333,4952486
12600,72229,665832,21933,6752880
12800,94029,854872,22533,8860574
13000,117915,1059860,23133,11170542
13200,143954,1284855,23733,13689594
13400,162151,1445947,24333,15446850
13600,164015,1473501,24933,15616968
13800,187236,1682432,25533,17862330
14000,192113,1746490,26133,18325082
14200,194972,1798813,26733,18591696
14400,198359,1863211,27333,18909782
14600,202025,1934694,27933,19254908
14800,206591,2024962,28533,19687398
15000,211366,2123182,29133,20140302
15200,216174,2217501,29733,20596332
15400,221826,2331070,30333,21134430
15600,227096,2436358,30933,21635304
15800,230421,2500363,31533,21947276
16000,234843,2589851,32133,22365660
16200,239937,2694378,32733,22849392
16400,246103,2823922,33333,23437252
16600,251236,2925045,33933,23924570
16800,257649,3054278,34533,24536194
17000,263487,3172862,35133,25092274
17200,274623,3317603,35733,26163052
17400,280339,3433009,36333,26707324
17600,286370,3550190,36933,27282210
17800,293980,3663217,37533,28010288
18000,305191,3793261,38133,29088382
18200,314774,3913532,38733,30007614
18400,325150,3992942,39333,31003782
18600,335600,4141837,39933,32007870
18800,344599,4321472,40533,32871246
19000,350551,4432744,41133,33438772
19200,370466,4659990,41733,35362458
19400,411274,5018140,42333,39314736
19600,439697,5290667,42933,42064314
19800,488921,5717197,43533,46833180
20000,520486,6031830,44133,49887212
20200,528571,6200085,44733,50661782
20400,537025,6367551,45333,51472286
20600,545811,6543133,45933,52315110
20800,556507,6734993,46533,53343866
21000,574550,6983145,47133,55085612
21200,584846,7183470,47733,56075484
21400,594904,7383793,48333,57042052
21600,605485,7595900,48933,58059558
