num_of_operations,size_bundle_file,num_objects,num_deltas,size_pack_file,size_unpacked_repo,#init,#create,#burn,#giveTo,#ackFrom,delta_bundle_size
0,573,2,0,429,73771,0,0,0,0,0,573
200,103948,202,0,78118,721033,0,0,0,0,0,103433
400,207317,402,0,155803,1085724,0,0,0,0,0,103427
600,310619,602,0,233459,1306977,0,0,0,0,0,103360
800,414019,802,0,311177,1458696,0,0,0,0,0,103458
1000,517369,1002,0,388851,1606253,0,0,0,0,0,103408
1200,620739,1202,0,466549,1733338,0,0,0,0,0,103428
1400,724010,1402,0,544190,1848048,0,0,0,0,0,103329
1600,827319,1602,0,621863,1962777,0,0,0,0,0,103367
1800,930686,1802,0,699560,2073452,0,0,0,0,0,103425
2000,1034025,2002,0,777253,2180023,0,0,0,0,0,103397
2200,1137495,2202,0,855037,2286742,0,0,0,0,0,103528
2400,1240787,2402,0,932689,2393264,0,0,0,0,0,103350
2600,1344226,2602,0,1010454,2499912,0,0,0,0,0,103497
2800,1447519,2802,0,1088143,2606409,0,0,0,0,0,103351
3000,1550815,3002,0,1165801,2712924,0,0,0,0,0,103354
3200,1654184,3202,0,1243490,2819540,0,0,0,0,0,103427
3400,1757507,3402,0,1321171,2926097,0,0,0,0,0,103381
3600,1860885,3602,0,1398887,3032675,0,0,0,0,0,103436
3800,1964326,3802,0,1476628,3139357,0,0,0,0,0,103499
4000,2067681,4002,0,1554313,3245953,0,0,0,0,0,103413
4200,2170978,4202,0,1631966,3352486,0,0,0,0,0,103355
4400,2274307,4402,0,1709647,3459061,0,0,0,0,0,103387
4600,2377623,4602,0,1787307,3565637,0,0,0,0,0,103374
4800,2480951,4802,0,1864933,3672208,0,0,0,0,0,103386
5000,2584268,5002,0,1942588,3778764,0,0,0,0,0,103375
5200,2687539,5202,0,2020197,3885273,0,0,0,0,0,103329
5400,2790852,5402,0,2097872,3991812,0,0,0,0,0,103371
5600,2894216,5602,0,2175582,4098406,0,0,0,0,0,103422
5800,2997499,5802,0,2253205,4204945,0,0,0,0,0,103341
6000,3100873,6002,0,2330897,4311562,0,0,0,0,0,103432
6200,3204222,6202,0,2408594,4418155,0,0,0,0,0,103407
6400,3307588,6402,0,2486274,4524771,0,0,0,0,0,103424
6600,3410982,6602,0,2564002,4631375,0,0,0,0,0,103452
6800,3514336,6802,0,2641702,4737985,0,0,0,0,0,103412
7000,3617722,7002,0,2719404,4844603,0,0,0,0,0,103444
7200,3721116,7202,0,2797130,4951231,0,0,0,0,0,103452
7400,3824498,7402,0,2874836,5057845,0,0,0,0,0,103440
7600,3927845,7602,0,2952537,5164441,0,0,0,0,0,103405
7800,4031166,7802,0,3030214,5270994,0,0,0,0,0,103379
8000,4136100,8004,6,3106578,5380538,65,0,0,0,0,105228
8200,4265250,8530,20,3205215,5517394,81,184,0,0,0,135555
8400,4392958,8968,25,3299636,5650726,81,384,0,0,0,132103
8600,4514351,9322,32,3387659,5777611,81,584,0,0,0,127245
8800,4634930,9674,45,3474627,5904709,81,784,0,0,0,124924
9000,4755538,10018,56,3561457,6031395,81,984,0,0,0,125812
9200,4873898,10358,76,3646393,6157411,81,1184,0,0,0,122875
9400,4994289,10700,90,3732497,6284502,81,1384,0,0,0,123912
9600,5112486,11010,103,3816596,6408982,81,1584,0,0,0,121329
9800,5234038,11356,112,3903859,6536361,81,1784,0,0,0,125779
10000,5352611,11654,118,3988473,6659828,81,1984,0,0,0,123082
10200,5477547,12044,124,4079305,6790340,81,2184,0,0,0,130575
10400,5602421,12446,131,4170759,6920975,81,2384,0,0,0,131850
10600,5732507,12916,136,4267258,7056922,81,2584,0,0,0,137849
10800,5860574,13356,141,4361706,7190614,81,2784,0,0,0,136126
11000,5981366,13804,222,4455089,7329251,81,2919,0,33,32,128681
11200,6102425,14434,395,4566830,7490230,81,2920,0,132,132,137627
11400,6223790,15071,570,4679744,7667326,81,2921,0,232,231,139774
11600,6353442,15717,728,4801283,7838929,81,2924,0,330,330,145561
11800,6458437,16266,995,4895085,8116368,81,2925,0,430,429,126756
12000,6558841,16749,1282,4982055,8655113,81,2928,0,528,528,124237
12200,6654832,17236,1582,5066318,9372608,81,2929,0,628,627,146550
12400,6748541,17755,1894,5156408,10263183,81,2929,0,728,727,144117
12600,6852823,18246,2208,5257073,11235012,81,2929,0,828,827,143729
12800,6942350,18743,2527,5340243,12416904,81,2929,0,928,927,152126
13000,7023909,19211,2814,5418529,13683844,81,2929,0,1028,1027,151540
13200,7124880,19666,3119,5509343,15026467,81,2929,0,1128,1127,157757
13400,7222502,20186,3364,5597647,16027121,81,2930,0,1227,1227,156306
13600,7346925,20816,3523,5714313,16454275,81,2932,0,1326,1326,148224
13800,7454717,21306,3774,5813322,17757293,81,2932,0,1426,1426,169999
14000,7577121,21899,3948,5930043,18335502,81,2932,0,1526,1526,160426
14200,7704441,22510,4106,6050113,18771176,81,2937,0,1624,1623,154743
14400,7846613,23119,4259,6186592,19241239,81,2937,0,1724,1723,154298
14600,7958572,23711,4410,6293377,19702404,81,2937,0,1824,1823,156741
14800,8079825,24298,4618,6410492,20133416,81,2937,0,1924,1923,146404
15000,8199115,24887,4813,6525640,20583478,81,2939,0,2023,2022,153231
15200,8317353,25474,4991,6637674,20957233,81,2942,0,2121,2121,160732
15400,8442612,26057,5167,6757240,21398592,81,2945,0,2220,2219,165245
15600,8572101,26649,5345,6880873,21799543,81,2950,0,2317,2317,160800
15800,8726747,27262,5490,7028277,22103163,81,2953,0,2416,2415,168583
16000,8876479,27843,5628,7173024,22429922,81,2953,0,2516,2515,162194
16200,9026896,28400,5753,7318265,22775123,81,2953,0,2616,2615,165748
16400,9153558,28951,5919,7439586,23176224,81,2953,0,2716,2715,154838
16600,9298598,29491,6063,7581528,23504661,81,2954,0,2815,2815,168077
16800,9450396,30052,6226,7730059,23905628,81,2955,0,2915,2914,170113
